"Points:0","Points:1","Points:2","X","Y"
11.804,-0.28544,14.106,11.804,-0.28544
11.82,-0.28544,14.106,11.82,-0.28544
11.835,-0.28544,14.106,11.835,-0.28544
11.851,-0.28544,14.106,11.851,-0.28544
11.866,-0.28544,14.106,11.866,-0.28544
11.882,-0.28544,14.106,11.882,-0.28544
11.897,-0.28544,14.106,11.897,-0.28544
11.913,-0.28544,14.106,11.913,-0.28544
11.928,-0.28544,14.106,11.928,-0.28544
11.944,-0.28544,14.106,11.944,-0.28544
11.959,-0.28544,14.106,11.959,-0.28544
11.974,-0.28544,14.106,11.974,-0.28544
11.99,-0.28544,14.106,11.99,-0.28544
12.005,-0.28544,14.106,12.005,-0.28544
12.02,-0.28544,14.106,12.02,-0.28544
12.036,-0.28544,14.106,12.036,-0.28544
12.051,-0.28544,14.106,12.051,-0.28544
12.066,-0.28544,14.106,12.066,-0.28544
12.081,-0.28544,14.106,12.081,-0.28544
12.097,-0.28544,14.106,12.097,-0.28544
12.112,-0.28544,14.106,12.112,-0.28544
12.127,-0.28544,14.106,12.127,-0.28544
12.143,-0.28544,14.106,12.143,-0.28544
12.158,-0.28544,14.106,12.158,-0.28544
12.173,-0.28544,14.106,12.173,-0.28544
12.188,-0.28544,14.106,12.188,-0.28544
12.204,-0.28544,14.106,12.204,-0.28544
12.219,-0.28544,14.106,12.219,-0.28544
12.234,-0.28544,14.106,12.234,-0.28544
12.249,-0.28544,14.106,12.249,-0.28544
12.265,-0.28544,14.106,12.265,-0.28544
12.28,-0.28544,14.106,12.28,-0.28544
12.295,-0.28544,14.106,12.295,-0.28544
12.311,-0.28544,14.106,12.311,-0.28544
12.326,-0.28544,14.106,12.326,-0.28544
12.341,-0.28544,14.106,12.341,-0.28544
12.356,-0.28544,14.106,12.356,-0.28544
12.372,-0.28544,14.106,12.372,-0.28544
12.387,-0.28544,14.106,12.387,-0.28544
12.402,-0.28544,14.106,12.402,-0.28544
12.417,-0.28544,14.106,12.417,-0.28544
12.433,-0.28544,14.106,12.433,-0.28544
12.448,-0.28544,14.106,12.448,-0.28544
12.463,-0.28544,14.106,12.463,-0.28544
12.479,-0.28544,14.106,12.479,-0.28544
12.494,-0.28544,14.106,12.494,-0.28544
12.509,-0.28544,14.106,12.509,-0.28544
12.524,-0.28544,14.106,12.524,-0.28544
12.54,-0.28544,14.106,12.54,-0.28544
12.555,-0.28544,14.106,12.555,-0.28544
12.57,-0.28544,14.106,12.57,-0.28544
12.585,-0.28544,14.106,12.585,-0.28544
12.601,-0.28544,14.106,12.601,-0.28544
12.616,-0.28544,14.106,12.616,-0.28544
12.631,-0.28544,14.106,12.631,-0.28544
12.647,-0.28544,14.106,12.647,-0.28544
12.662,-0.28544,14.106,12.662,-0.28544
12.677,-0.28544,14.106,12.677,-0.28544
12.692,-0.28544,14.106,12.692,-0.28544
12.708,-0.28544,14.106,12.708,-0.28544
12.723,-0.28544,14.106,12.723,-0.28544
12.738,-0.28544,14.106,12.738,-0.28544
12.753,-0.28544,14.106,12.753,-0.28544
12.769,-0.28544,14.106,12.769,-0.28544
12.784,-0.28544,14.106,12.784,-0.28544
12.799,-0.28544,14.106,12.799,-0.28544
12.815,-0.28544,14.106,12.815,-0.28544
12.83,-0.28544,14.106,12.83,-0.28544
12.845,-0.28544,14.106,12.845,-0.28544
12.86,-0.28544,14.106,12.86,-0.28544
12.876,-0.28544,14.106,12.876,-0.28544
12.891,-0.28544,14.106,12.891,-0.28544
12.906,-0.28544,14.106,12.906,-0.28544
12.921,-0.28544,14.106,12.921,-0.28544
12.937,-0.28544,14.106,12.937,-0.28544
12.952,-0.28544,14.106,12.952,-0.28544
12.967,-0.28544,14.106,12.967,-0.28544
12.983,-0.28544,14.106,12.983,-0.28544
12.998,-0.28544,14.106,12.998,-0.28544
13.013,-0.28544,14.106,13.013,-0.28544
13.028,-0.28544,14.106,13.028,-0.28544
13.044,-0.28544,14.106,13.044,-0.28544
13.059,-0.28544,14.106,13.059,-0.28544
13.074,-0.28544,14.106,13.074,-0.28544
13.09,-0.28544,14.106,13.09,-0.28544
13.105,-0.28544,14.106,13.105,-0.28544
13.12,-0.28544,14.106,13.12,-0.28544
13.135,-0.28544,14.106,13.135,-0.28544
13.151,-0.28544,14.106,13.151,-0.28544
13.166,-0.28544,14.106,13.166,-0.28544
13.181,-0.28544,14.106,13.181,-0.28544
13.196,-0.28544,14.106,13.196,-0.28544
13.212,-0.28544,14.106,13.212,-0.28544
13.227,-0.28544,14.106,13.227,-0.28544
13.242,-0.28544,14.106,13.242,-0.28544
13.258,-0.28544,14.106,13.258,-0.28544
13.273,-0.28544,14.106,13.273,-0.28544
13.288,-0.28544,14.106,13.288,-0.28544
